1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,2004.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,3165.4,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-2333.8,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-3165.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-2004.4,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215,-1215
1196.9,1198.2,1202,1207.8,1214.7,1221.7,1227.8,1231.8,1233.3,1231.8,1227.8,1221.7,1214.7,1207.8,1202,1198.2,1954.2,1957.9,1968.4,1984.3,2003.5,2023.2,2040.3,2051.9,2056,2051.9,2040.3,2023.2,2003.5,1984.3,1968.4,1957.9,3027.2,3037.1,3065.5,3109.2,3162.4,3217.8,3266.4,3299.8,3311.6,3299.8,3266.4,3217.8,3162.4,3109.2,3065.5,3037.1,2183.5,2194,2224.7,2272.2,2330.7,2392,2446.4,2484,2497.5,2484,2446.4,2392,2330.7,2272.2,2224.7,2194,-2183.5,-2194,-2224.7,-2272.2,-2330.7,-2392,-2446.4,-2484,-2497.5,-2484,-2446.4,-2392,-2330.7,-2272.2,-2224.7,-2194,-3027.2,-3037.1,-3065.5,-3109.2,-3162.4,-3217.8,-3266.4,-3299.8,-3311.6,-3299.8,-3266.4,-3217.8,-3162.4,-3109.2,-3065.5,-3037.1,-1954.2,-1957.9,-1968.4,-1984.3,-2003.5,-2023.2,-2040.3,-2051.9,-2056,-2051.9,-2040.3,-2023.2,-2003.5,-1984.3,-1968.4,-1957.9,-1196.9,-1198.2,-1202,-1207.8,-1214.7,-1221.7,-1227.8,-1231.8,-1233.3,-1231.8,-1227.8,-1221.7,-1214.7,-1207.8,-1202,-1198.2
1179,1181.6,1189,1200.3,1214,1228.1,1240.4,1248.8,1251.8,1248.8,1240.4,1228.1,1214,1200.3,1189,1181.6,1905.5,1912.3,1932.3,1963.1,2001,2040.7,2076,2100.4,2109.1,2100.4,2076,2040.7,2001,1963.1,1932.3,1912.3,2896.7,2914.6,2967,3049.5,3153.7,3266,3368.2,3440.4,3466.6,3440.4,3368.2,3266,3153.7,3049.5,2967,2914.6,2045.2,2063.9,2119.2,2207.5,2321.2,2446.4,2562.4,2645.5,2675.7,2645.5,2562.4,2446.4,2321.2,2207.5,2119.2,2063.9,-2045.2,-2063.9,-2119.2,-2207.5,-2321.2,-2446.4,-2562.4,-2645.5,-2675.7,-2645.5,-2562.4,-2446.4,-2321.2,-2207.5,-2119.2,-2063.9,-2896.7,-2914.6,-2967,-3049.5,-3153.7,-3266,-3368.2,-3440.4,-3466.6,-3440.4,-3368.2,-3266,-3153.7,-3049.5,-2967,-2914.6,-1905.5,-1912.3,-1932.3,-1963.1,-2001,-2040.7,-2076,-2100.4,-2109.1,-2100.4,-2076,-2040.7,-2001,-1963.1,-1932.3,-1912.3,-1179,-1181.6,-1189,-1200.3,-1214,-1228.1,-1240.4,-1248.8,-1251.8,-1248.8,-1240.4,-1228.1,-1214,-1200.3,-1189,-1181.6
1161.4,1165.1,1175.8,1192.4,1212.8,1234.1,1252.9,1265.8,1270.5,1265.8,1252.9,1234.1,1212.8,1192.4,1175.8,1165.1,1858.1,1867.8,1896.2,1940.7,1996.7,2056.9,2111.4,2149.8,2163.7,2149.8,2111.4,2056.9,1996.7,1940.7,1896.2,1867.8,2773.2,2797.7,2870.1,2986.8,3139.1,3309.5,3470.5,3587.6,3630.8,3587.6,3470.5,3309.5,3139.1,2986.8,2870.1,2797.7,1918,1942.8,2017.3,2140.2,2305.4,2496.5,2681.8,2819.1,2870,2819.1,2681.8,2496.5,2305.4,2140.2,2017.3,1942.8,-1918,-1942.8,-2017.3,-2140.2,-2305.4,-2496.5,-2681.8,-2819.1,-2870,-2819.1,-2681.8,-2496.5,-2305.4,-2140.2,-2017.3,-1942.8,-2773.2,-2797.7,-2870.1,-2986.8,-3139.1,-3309.5,-3470.5,-3587.6,-3630.8,-3587.6,-3470.5,-3309.5,-3139.1,-2986.8,-2870.1,-2797.7,-1858.1,-1867.8,-1896.2,-1940.7,-1996.7,-2056.9,-2111.4,-2149.8,-2163.7,-2149.8,-2111.4,-2056.9,-1996.7,-1940.7,-1896.2,-1867.8,-1161.4,-1165.1,-1175.8,-1192.4,-1212.8,-1234.1,-1252.9,-1265.8,-1270.5,-1265.8,-1252.9,-1234.1,-1212.8,-1192.4,-1175.8,-1165.1
1144,1148.7,1162.6,1184.2,1211.1,1239.6,1265.2,1283,1289.4,1283,1265.2,1239.6,1211.1,1184.2,1162.6,1148.7,1812,1824.2,1860.1,1917.4,1990.8,2071.5,2146.4,2200.2,2219.9,2200.2,2146.4,2071.5,1990.8,1917.4,1860.1,1824.2,2656.5,2686.1,2775,2921.5,3118.7,3348,3572.9,3741.6,3804.8,3741.6,3572.9,3348,3118.7,2921.5,2775,2686.1,1800.8,1830.1,1919.2,2070.7,2283.3,2541.7,2804.5,3005.9,3081.9,3005.9,2804.5,2541.7,2283.3,2070.7,1919.2,1830.1,-1800.8,-1830.1,-1919.2,-2070.7,-2283.3,-2541.7,-2804.5,-3005.9,-3081.9,-3005.9,-2804.5,-2541.7,-2283.3,-2070.7,-1919.2,-1830.1,-2656.5,-2686.1,-2775,-2921.5,-3118.7,-3348,-3572.9,-3741.6,-3804.8,-3741.6,-3572.9,-3348,-3118.7,-2921.5,-2775,-2686.1,-1812,-1824.2,-1860.1,-1917.4,-1990.8,-2071.5,-2146.4,-2200.2,-2219.9,-2200.2,-2146.4,-2071.5,-1990.8,-1917.4,-1860.1,-1824.2,-1144,-1148.7,-1162.6,-1184.2,-1211.1,-1239.6,-1265.2,-1283,-1289.4,-1283,-1265.2,-1239.6,-1211.1,-1184.2,-1162.6,-1148.7
1126.8,1132.5,1149.3,1175.7,1208.9,1244.7,1277.2,1300.2,1308.6,1300.2,1277.2,1244.7,1208.9,1175.7,1149.3,1132.5,1767.2,1781.6,1824.2,1893.1,1983.2,2084.6,2181,2251.6,2277.6,2251.6,2181,2084.6,1983.2,1893.1,1824.2,1781.6,2546,2579.7,2681.9,2854,3092.8,3381.1,3675,3902.7,3989.5,3902.7,3675,3381.1,3092.8,2854,2681.9,2579.7,1692.8,1725.1,1824.8,1999.3,2254.9,2581.7,2930.5,3207.1,3313,3207.1,2930.5,2581.7,2254.9,1999.3,1824.8,1725.1,-1692.8,-1725.1,-1824.8,-1999.3,-2254.9,-2581.7,-2930.5,-3207.1,-3313,-3207.1,-2930.5,-2581.7,-2254.9,-1999.3,-1824.8,-1725.1,-2546,-2579.7,-2681.9,-2854,-3092.8,-3381.1,-3675,-3902.7,-3989.5,-3902.7,-3675,-3381.1,-3092.8,-2854,-2681.9,-2579.7,-1767.2,-1781.6,-1824.2,-1893.1,-1983.2,-2084.6,-2181,-2251.6,-2277.6,-2251.6,-2181,-2084.6,-1983.2,-1893.1,-1824.2,-1781.6,-1126.8,-1132.5,-1149.3,-1175.7,-1208.9,-1244.7,-1277.2,-1300.2,-1308.6,-1300.2,-1277.2,-1244.7,-1208.9,-1175.7,-1149.3,-1132.5
1109.8,1116.4,1135.9,1166.8,1206.3,1249.4,1289.1,1317.5,1327.9,1317.5,1289.1,1249.4,1206.3,1166.8,1135.9,1116.4,1723.7,1740,1788.5,1868,1974,2096.1,2215,2303.8,2337,2303.8,2215,2096.1,1974,1868,1788.5,1740,2441.3,2478.2,2591,2784.6,3061.4,3408.3,3776.3,4071,4185.4,4071,3776.3,3408.3,3061.4,2784.6,2591,2478.2,1593,1627.2,1734.3,1926.6,2220.1,2615.6,3059.8,3423.8,3565.2,3423.8,3059.8,2615.6,2220.1,1926.6,1734.3,1627.2,-1593,-1627.2,-1734.3,-1926.6,-2220.1,-2615.6,-3059.8,-3423.8,-3565.2,-3423.8,-3059.8,-2615.6,-2220.1,-1926.6,-1734.3,-1627.2,-2441.3,-2478.2,-2591,-2784.6,-3061.4,-3408.3,-3776.3,-4071,-4185.4,-4071,-3776.3,-3408.3,-3061.4,-2784.6,-2591,-2478.2,-1723.7,-1740,-1788.5,-1868,-1974,-2096.1,-2215,-2303.8,-2337,-2303.8,-2215,-2096.1,-1974,-1868,-1788.5,-1740,-1109.8,-1116.4,-1135.9,-1166.8,-1206.3,-1249.4,-1289.1,-1317.5,-1327.9,-1317.5,-1289.1,-1249.4,-1206.3,-1166.8,-1135.9,-1116.4
1093,1100.5,1122.5,1157.7,1203.2,1253.6,1300.8,1334.9,1347.4,1334.9,1300.8,1253.6,1203.2,1157.7,1122.5,1100.5,1681.4,1699.3,1753,1842.1,1963.1,2105.9,2248.4,2357,2398.1,2357,2248.4,2105.9,1963.1,1842.1,1753,1699.3,2342.1,2381.3,2502.2,2713.6,3024.7,3429.3,3876.3,4246.8,4393.4,4246.8,3876.3,3429.3,3024.7,2713.6,2502.2,2381.3,1500.8,1536.1,1647.6,1852.8,2179,2642.9,3192.3,3657.8,3840.3,3657.8,3192.3,2642.9,2179,1852.8,1647.6,1536.1,-1500.8,-1536.1,-1647.6,-1852.8,-2179,-2642.9,-3192.3,-3657.8,-3840.3,-3657.8,-3192.3,-2642.9,-2179,-1852.8,-1647.6,-1536.1,-2342.1,-2381.3,-2502.2,-2713.6,-3024.7,-3429.3,-3876.3,-4246.8,-4393.4,-4246.8,-3876.3,-3429.3,-3024.7,-2713.6,-2502.2,-2381.3,-1681.4,-1699.3,-1753,-1842.1,-1963.1,-2105.9,-2248.4,-2357,-2398.1,-2357,-2248.4,-2105.9,-1963.1,-1842.1,-1753,-1699.3,-1093,-1100.5,-1122.5,-1157.7,-1203.2,-1253.6,-1300.8,-1334.9,-1347.4,-1334.9,-1300.8,-1253.6,-1203.2,-1157.7,-1122.5,-1100.5
1076.5,1084.7,1109,1148.3,1199.6,1257.3,1312.2,1352.3,1367.2,1352.3,1312.2,1257.3,1199.6,1148.3,1109,1084.7,1640.3,1659.6,1717.8,1815.5,1950.8,2114,2281,2411.1,2460.9,2411.1,2281,2114,1950.8,1815.5,1717.8,1659.6,2248.1,2289,2415.9,2641.5,2982.8,3443.7,3974.5,4430.3,4614.3,4430.3,3974.5,3443.7,2982.8,2641.5,2415.9,2289,1415.6,1451.2,1564.7,1778.5,2131.6,2662.6,3328.2,3910.7,4140.3,3910.7,3328.2,2662.6,2131.6,1778.5,1564.7,1451.2,-1415.6,-1451.2,-1564.7,-1778.5,-2131.6,-2662.6,-3328.2,-3910.7,-4140.3,-3910.7,-3328.2,-2662.6,-2131.6,-1778.5,-1564.7,-1451.2,-2248.1,-2289,-2415.9,-2641.5,-2982.8,-3443.7,-3974.5,-4430.3,-4614.3,-4430.3,-3974.5,-3443.7,-2982.8,-2641.5,-2415.9,-2289,-1640.3,-1659.6,-1717.8,-1815.5,-1950.8,-2114,-2281,-2411.1,-2460.9,-2411.1,-2281,-2114,-1950.8,-1815.5,-1717.8,-1659.6,-1076.5,-1084.7,-1109,-1148.3,-1199.6,-1257.3,-1312.2,-1352.3,-1367.2,-1352.3,-1312.2,-1257.3,-1199.6,-1148.3,-1109,-1084.7
1060.2,1069.1,1095.5,1138.6,1195.6,1260.6,1323.3,1369.8,1387.1,1369.8,1323.3,1260.6,1195.6,1138.6,1095.5,1069.1,1600.4,1620.8,1682.9,1788.3,1936.9,2120.3,2312.7,2466,2525.4,2466,2312.7,2120.3,1936.9,1788.3,1682.9,1620.8,2159,2200.8,2331.9,2568.7,2936.1,3451.2,4070.2,4621.8,4849,4621.8,4070.2,3451.2,2936.1,2568.7,2331.9,2200.8,1336.6,1372,1485.7,1703.9,2078.1,2673.9,3467.6,4184.6,4467.5,4184.6,3467.6,2673.9,2078.1,1703.9,1485.7,1372,-1336.6,-1372,-1485.7,-1703.9,-2078.1,-2673.9,-3467.6,-4184.6,-4467.5,-4184.6,-3467.6,-2673.9,-2078.1,-1703.9,-1485.7,-1372,-2159,-2200.8,-2331.9,-2568.7,-2936.1,-3451.2,-4070.2,-4621.8,-4849,-4621.8,-4070.2,-3451.2,-2936.1,-2568.7,-2331.9,-2200.8,-1600.4,-1620.8,-1682.9,-1788.3,-1936.9,-2120.3,-2312.7,-2466,-2525.4,-2466,-2312.7,-2120.3,-1936.9,-1788.3,-1682.9,-1620.8,-1060.2,-1069.1,-1095.5,-1138.6,-1195.6,-1260.6,-1323.3,-1369.8,-1387.1,-1369.8,-1323.3,-1260.6,-1195.6,-1138.6,-1095.5,-1069.1
